Victim : *B151876AB1F58C2FFE355E296324D3403C6E10F5
Victim : *AA111F16AB37E2D6E256086D12CCE5F548DCD246
Attacker : 054.086.069 || NN Score : 0.0017153198347314776
Attacker : 054.231.015 || NN Score : 0.01690466281732174
Attacker : 087.064.220 || NN Score : 0.0021456432677230547
Attacker : 110.093.133 || NN Score : 2.145643267723054e-05
Attacker : 017.110.228 || NN Score : 1.690466281732173e-05
Attacker : 142.004.018 || NN Score : 0.0021456432677230547
Attacker : 174.077.037 || NN Score : 0.017153198347314783
Attacker : 108.075.039 || NN Score : 1.594835562886188e-05
Attacker : 174.035.032 || NN Score : 0.17154913667149518
Attacker : 174.035.036 || NN Score : 0.0017153198347314776
Attacker : 093.184.199 || NN Score : 0.0021456432677230547
Attacker : 104.236.061 || NN Score : 0.16904662817321744
Attacker : 107.020.133 || NN Score : 2.145643267723054e-05
Attacker : 054.173.219 || NN Score : 0.16904662817321744
Attacker : 076.095.180 || NN Score : 0.17153198347314785
Attacker : 061.158.240 || NN Score : 1.715319834731477e-05
Attacker : 050.116.194 || NN Score : 0.01853735052927101
Attacker : 119.031.249 || NN Score : 0.0017153198347314776
Attacker : 205.185.216 || NN Score : 0.021456432677230554
Attacker : 108.199.104 || NN Score : 0.0018537350529271007
Attacker : 017.164.001 || NN Score : 0.0018537350529271007
Attacker : 134.196.183 || NN Score : 2.145643267723054e-05
Attacker : 208.083.105 || NN Score : 0.20576459087490825
Attacker : 220.194.195 || NN Score : 0.0017153198347314776
Attacker : 070.036.144 || NN Score : 0.21456432677230558
Attacker : 198.020.088 || NN Score : 0.0
Attacker : 017.167.142 || NN Score : 0.16904662817321744
Attacker : 174.091.169 || NN Score : 1.594835562886188e-05
Attacker : 088.089.121 || NN Score : 0.0
Attacker : 185.021.132 || NN Score : 0.0
Attacker : 108.226.176 || NN Score : 0.00018537350529271
Attacker : 023.013.195 || NN Score : 2.145643267723054e-05
Attacker : 023.013.197 || NN Score : 0.0
Attacker : 178.187.017 || NN Score : 1.594835562886188e-05
Attacker : 005.249.042 || NN Score : 0.0021456432677230547
Attacker : 173.194.063 || NN Score : 0.21456432677230558
Attacker : 072.021.091 || NN Score : 0.02039108558219811
Attacker : 217.132.205 || NN Score : 0.0021456432677230547
Attacker : 076.232.105 || NN Score : 0.00018537350529271
Attacker : 037.029.000 || NN Score : 0.0001886851818204625
Attacker : 101.051.137 || NN Score : 0.0021456432677230547
Attacker : 144.118.066 || NN Score : 0.0
Attacker : 107.021.250 || NN Score : 0.0018537350529271007
Attacker : 094.069.220 || NN Score : 0.0021456432677230547
Attacker : 093.188.134 || NN Score : 0.0017153198347314776
Attacker : 017.143.162 || NN Score : 0.017153198347314783
Attacker : 017.143.163 || NN Score : 0.16904662817321744
Attacker : 017.143.160 || NN Score : 1.594835562886188e-05
